aider	3
matelot	8
français	10
devenir	19
janissaire	4
faible	4
liberté	8
honnête	11
tête	17
voix	6
voir	127
mauvais	13
humeur	4
cher	40
promener	5
histoire	9
chef	3
tirer	13
second	4
paraître	23
thunder	11
flamme	4
nez	6
espagnol	17
mer	14
connaissance	5
anglais	6
naturel	6
appeler	15
soldat	14
moral	5
portugal	9
voyageur	9
appartement	3
mois	11
curiosité	5
beauté	9
excellent	5
sortir	19
orner	3
naître	15
joie	7
rudement	3
route	5
fouetter	4
absolument	4
pauvre	10
provincial	3
angleterre	6
machine	3
empereur	7
consulter	4
nombre	3
mépriser	3
précipice	4
basané	4
sentir	15
banquier	3
lunette	3
voûte	3
réduire	4
peur	6
nouvelle	7
boire	10
westphalie	10
moitié	10
famille	5
subsister	3
concevoir	4
nègre	8
fin	8
mettre	58
vivre	17
hôte	7
banc	3
tremblement	7
avantage	3
espèce	10
sérail	3
doux	5
étendue	3
aide	3
langue	7
crucial	3
acteur	9
content	6
laid	8
retourner	14
valoir	17
assurer	10
disputer	10
enlever	4
rançon	3
user	3
enfuir	6
rang	5
colibri	4
amener	9
jambe	6
autrement	6
ravir	3
chanter	7
précisément	3
opéra	3
prendre	63
convenir	5
boeuf	3
aisément	7
faveur	3
dévot	4
état	19
philosophie	3
advenir	4
anabaptiste	11
don	11
quoiqu	5
paravent	3
réparer	4
certainement	5
peine	20
coeur	16
sage	8
prix	6
amiral	6
italie	9
deviner	3
fontaine	3
avouer	21
convive	5
essuyer	5
bas	5
ruine	5
public	7
occasion	3
bleu	3
médecin	7
observer	3
habit	5
guerre	14
nécessaire	4
faim	8
voyage	10
détrôné	4
sorte	3
prince	15
pirate	5
montagne	7
nature	10
terme	5
auteur	4
bras	12
cou	5
logis	4
abandonner	5
demander	35
portant	3
canapé	4
levanti	6
paradis	3
retrouver	10
parler	46
milieu	10
occuper	6
penser	17
pangloss	98
suivre	13
familier	3
barque	3
commerce	4
air	11
empêcher	6
russe	4
incontinent	3
couper	11
faux	3
vénitien	4
amour	11
hésiter	3
traiter	15
mémoire	3
voyager	4
livre	19
marcher	11
vieux	59
aise	4
rome	5
chasser	10
couleur	4
verser	7
mourant	5
vérité	13
perdre	26
manquer	12
prison	9
turquie	4
sénateur	5
regarder	23
déjeuner	4
singe	10
possible	15
fesse	5
dîner	11
auprès_de	11
musique	5
tronckh	11
honorer	3
bord	6
fenêtre	4
gouvernement	5
foi	4
présence	3
expérience	3
faiblesse	5
délivrer	4
cultiver	4
larme	15
permission	4
jacques	9
pays	45
lier	3
maître	42
lieu	6
chevalier	3
jeu	4
mériter	10
singulier	4
connaître	17
italien	3
pierre	4
arme	5
représenter	3
emporter	5
sauvage	3
seigneur	11
petit	36
voisin	9
décider	3
édouard	5
rompre	3
baguette	6
attraper	3
nu	8
dieu	24
répliquer	11
séparer	4
doute	15
guérir	8
oiseau	4
sujet	5
roi	51
corps	11
misère	7
enfoncer	5
saient	4
providence	5
donner	72
passage	3
émeraude	3
idée	9
couler	4
hollandais	11
tillac	3
coucher	5
henri	3
venise	27
souvenir	6
attentivement	6
nager	3
palestrine	3
carte	4
partager	4
allemagne	6
lever	8
attendre	18
ville	22
brave	3
détestable	4
soupçonner	3
droit	16
disséquer	4
frotter	4
rocher	5
canaille	3
extraordinaire	4
semaine	4
gorge	6
accompagner	6
poliment	4
père	35
entier	4
ciel	13
retirer	4
embarquer	8
proposer	5
pièce	11
oreille	8
défendre	3
serpent	3
univers	5
france	12
bulgare	30
volonté	3
consoler	6
ignorant	3
réflexion	4
soutenir	8
appartenir	10
sur_le_champ	5
noce	3
figure	4
soleil	3
conduire	10
rubis	3
jugement	3
cesse	3
accommoder	3
alger	4
hôtellerie	7
jurer	6
st	5
silence	3
noyer	3
pareil	4
découvrir	3
église	4
avis	6
main	20
nom	5
accourir	3
nation	5
écu	3
pendre	21
servant	4
ensemble	6
ancien	10
afrique	5
sot	3
assiéger	3
apporter	9
maudit	4
songer	6
racheter	3
figueora	3
agréable	7
quart	6
pococurante	15
principe	3
place	9
turc	11
empressement	3
tenir	16
impossible	3
orateur	3
corsaire	5
droite	3
matière	4
éprouver	11
voisinage	5
juge	6
aborder	9
trésor	4
mêler	4
douleur	8
doigt	5
profond	5
rival	3
savant	14
sublime	3
portsmouth	3
aller	96
premier	25
quartier	10
spectacle	6
forçat	4
apercevoir	15
extrême	10
suffisant	6
étendre	7
pain	7
perroquet	3
exécuter	3
étrange	7
personnage	4
